company_code,doc_no,bp_id,posting_date,due_date,open_amount_lc,days_overdue
CANON,100001,VE-00051,2026-01-04 00:00:00,2026-01-04 00:00:00,674452680,77
CANON,100002,VE-00078,2026-01-31 00:00:00,2026-01-31 00:00:00,-4467587.45,50
CANON,100003,VE-00027,2026-01-05 00:00:00,2026-01-05 00:00:00,34958824,76
CANON,100003,VE-00078,2026-02-28 00:00:00,2026-02-28 00:00:00,-2909392.55,22
CANON,100014,VE-00065,2026-01-22 00:00:00,2026-01-22 00:00:00,25000,59
CANON,100015,VE-00066,2026-01-22 00:00:00,2026-01-22 00:00:00,10000,59
CANON,100031,VE-00002,2026-01-26 00:00:00,2026-01-26 00:00:00,27000,55
CANON,100057,VE-00008,2026-01-20 00:00:00,2026-01-20 00:00:00,910200,61
CANON,100072,VE-00002,2026-02-01 00:00:00,2026-02-02 00:00:00,12000,48
CANON,100106,VE-00074,2026-01-31 00:00:00,2026-02-02 00:00:00,630694,48
CANON,100107,VE-00074,2026-01-31 00:00:00,2026-02-02 00:00:00,1127974,48
CANON,100113,VE-00002,2026-02-19 00:00:00,2026-02-19 00:00:00,455000,31
CANON,100127,VE-00002,2026-02-23 00:00:00,2026-02-23 00:00:00,190000,27
CANON,100171,VE-00078,2026-02-28 00:00:00,2026-02-28 00:00:00,2909392.55,22
CANON,100173,VE-00003,2026-02-28 00:00:00,2026-03-02 00:00:00,1345400,20
CANON,100174,VE-00003,2026-02-28 00:00:00,2026-03-02 00:00:00,1683300,20
CANON,100177,VE-00002,2026-03-09 00:00:00,2026-03-09 00:00:00,15000,13
CANON,100180,VE-00078,2026-02-28 00:00:00,2026-02-28 00:00:00,1345400,22
CANON,100181,VE-00078,2026-02-28 00:00:00,2026-02-28 00:00:00,1683300,22
CANON,100188,VE-00061,2026-03-10 00:00:00,2026-03-10 00:00:00,90000,12
CANON,100189,VE-00055,2026-03-10 00:00:00,2026-03-10 00:00:00,1905000,12
CANON,100190,VE-00055,2026-03-10 00:00:00,2026-03-10 00:00:00,350000,12
CANON,100191,VE-00055,2026-03-10 00:00:00,2026-03-10 00:00:00,650000,12
CANON,100193,VE-00055,2026-03-11 00:00:00,2026-03-11 00:00:00,50000,11
CANON,100196,VE-00055,2026-03-12 00:00:00,2026-03-12 00:00:00,45000,10
CANON,100202,VE-00055,2026-03-15 00:00:00,2026-03-16 00:00:00,485000,6
CANON,100203,VE-00078,2026-01-31 00:00:00,2026-01-31 00:00:00,4467587.45,50
CANON,100209,VE-00055,2026-03-17 00:00:00,2026-03-17 00:00:00,175000,5
CANON,100210,VE-00064,2026-03-17 00:00:00,2026-03-17 00:00:00,830000,5
CANON,100212,VE-00078,2026-02-28 00:00:00,2026-02-28 00:00:00,2909392.55,22
