company_code,doc_no,bp_id,posting_date,due_date,open_amount_lc,days_overdue
CANON,100002,CU-00263,2026-01-06 00:00:00,2026-01-06 00:00:00,-50000,75
CANON,100005,CU-01925,2026-02-17 00:00:00,2026-02-17 00:00:00,-600000,33
CANON,100006,CU-01925,2026-02-17 00:00:00,2026-02-17 00:00:00,-20000,33
CANON,100009,CU-02313,2026-02-24 00:00:00,2026-02-24 00:00:00,-2370000,26
CANON,100010,CU-00912,2026-01-05 00:00:00,2026-01-05 00:00:00,75000,76
CANON,100010,CU-01359,2026-02-25 00:00:00,2026-02-25 00:00:00,-513000,25
CANON,100011,CU-01038,2026-01-05 00:00:00,2026-01-05 00:00:00,80000,76
CANON,100012,CU-00380,2026-01-05 00:00:00,2026-01-05 00:00:00,430000,76
CANON,100012,CU-02325,2026-03-02 00:00:00,2026-03-02 00:00:00,-430000,20
CANON,100013,CU-01069,2026-01-05 00:00:00,2026-01-05 00:00:00,340000,76
CANON,100013,CU-02345,2026-03-10 00:00:00,2026-03-10 00:00:00,-140000,12
CANON,100015,CU-01746,2026-01-05 00:00:00,2026-01-05 00:00:00,180000,76
CANON,100016,CU-00284,2026-01-05 00:00:00,2026-01-05 00:00:00,38000,76
CANON,100020,CU-00231,2026-01-05 00:00:00,2026-01-05 00:00:00,20000,76
CANON,100023,CU-01412,2026-01-05 00:00:00,2026-01-20 00:00:00,50000,61
CANON,100029,CU-01314,2026-01-06 00:00:00,2026-01-06 00:00:00,1080000,75
CANON,100030,CU-00967,2026-01-06 00:00:00,2026-01-06 00:00:00,180000,75
CANON,100031,CU-00263,2026-01-06 00:00:00,2026-01-06 00:00:00,25000,75
CANON,100033,CU-00263,2026-01-06 00:00:00,2026-01-06 00:00:00,25000,75
CANON,100043,CU-02108,2026-01-08 00:00:00,2026-01-08 00:00:00,50000,73
CANON,100056,CU-00134,2026-01-08 00:00:00,2026-01-08 00:00:00,875000,73
CANON,100071,CU-00944,2026-01-08 00:00:00,2026-01-08 00:00:00,17660000,73
CANON,100074,CU-00126,2026-01-10 00:00:00,2026-01-10 00:00:00,345000,71
CANON,100089,CU-01125,2026-01-17 00:00:00,2026-01-17 00:00:00,10000,64
CANON,100090,CU-01666,2026-01-17 00:00:00,2026-01-17 00:00:00,270000,64
CANON,100094,CU-00938,2026-01-06 00:00:00,2026-02-05 00:00:00,5150000.07,45
CANON,100099,CU-00795,2026-01-18 00:00:00,2026-01-18 00:00:00,160000,63
CANON,100100,CU-01375,2026-01-18 00:00:00,2026-01-18 00:00:00,120000,63
CANON,100101,CU-01666,2026-01-18 00:00:00,2026-01-18 00:00:00,80000,63
CANON,100112,CU-00053,2026-01-19 00:00:00,2026-01-19 00:00:00,175000,62
CANON,100113,CU-00244,2026-01-19 00:00:00,2026-01-19 00:00:00,240000,62
CANON,100122,CU-00728,2026-01-18 00:00:00,2026-02-17 00:00:00,11612000.01,33
CANON,100124,CU-01269,2026-01-20 00:00:00,2026-01-20 00:00:00,600000,61
CANON,100128,CU-01569,2026-01-06 00:00:00,2026-01-06 00:00:00,910000,75
CANON,100138,CU-00979,2026-01-22 00:00:00,2026-01-22 00:00:00,650000,59
CANON,100140,CU-00237,2026-01-22 00:00:00,2026-01-22 00:00:00,120000,59
CANON,100142,CU-00159,2026-01-22 00:00:00,2026-01-22 00:00:00,50000,59
CANON,100143,CU-02188,2026-01-22 00:00:00,2026-01-22 00:00:00,75000,59
CANON,100144,CU-02228,2026-01-22 00:00:00,2026-01-22 00:00:00,900000,59
CANON,100145,CU-01314,2026-01-22 00:00:00,2026-01-22 00:00:00,665000,59
CANON,100150,CU-01409,2026-01-24 00:00:00,2026-01-24 00:00:00,175000,57
CANON,100151,CU-00922,2026-01-24 00:00:00,2026-01-24 00:00:00,95000,57
CANON,100152,CU-00160,2026-01-24 00:00:00,2026-02-23 00:00:00,40000,27
CANON,100154,CU-00466,2026-01-24 00:00:00,2026-01-24 00:00:00,25000,57
CANON,100155,CU-00237,2026-01-24 00:00:00,2026-01-24 00:00:00,75000,57
CANON,100157,CU-00239,2026-01-24 00:00:00,2026-01-24 00:00:00,85000,57
CANON,100159,CU-00747,2026-01-24 00:00:00,2026-01-24 00:00:00,65000,57
CANON,100161,CU-01704,2026-01-24 00:00:00,2026-01-24 00:00:00,60000,57
CANON,100162,CU-02129,2026-01-24 00:00:00,2026-01-24 00:00:00,75000,57
CANON,100164,CU-02229,2026-01-24 00:00:00,2026-01-24 00:00:00,50000,57
CANON,100165,CU-01055,2026-01-24 00:00:00,2026-02-08 00:00:00,15000,42
CANON,100166,CU-00159,2026-01-24 00:00:00,2026-01-24 00:00:00,80000,57
CANON,100167,CU-00237,2026-01-24 00:00:00,2026-01-24 00:00:00,75000,57
CANON,100185,CU-01493,2026-01-22 00:00:00,2026-01-22 00:00:00,150000,59
CANON,100186,CU-02230,2026-01-22 00:00:00,2026-01-22 00:00:00,35000,59
CANON,100196,CU-00686,2026-01-22 00:00:00,2026-01-22 00:00:00,190000,59
CANON,100198,CU-01521,2026-01-24 00:00:00,2026-01-24 00:00:00,3900000,57
CANON,100200,CU-01776,2026-01-22 00:00:00,2026-01-22 00:00:00,1350000,59
CANON,100203,CU-02227,2026-01-20 00:00:00,2026-01-20 00:00:00,7530000,61
CANON,100207,CU-02239,2026-01-26 00:00:00,2026-01-26 00:00:00,440000,55
CANON,100213,CU-00838,2026-01-24 00:00:00,2026-01-24 00:00:00,65000,57
CANON,100233,CU-00536,2026-01-27 00:00:00,2026-01-27 00:00:00,145000,54
CANON,100237,CU-01938,2026-01-26 00:00:00,2026-01-26 00:00:00,2520000,55
CANON,100240,CU-02224,2026-01-19 00:00:00,2026-01-19 00:00:00,5900000,62
CANON,100253,CU-01901,2026-01-22 00:00:00,2026-01-22 00:00:00,150000,59
CANON,100255,CU-02108,2026-01-26 00:00:00,2026-01-26 00:00:00,150000,55
CANON,100262,CU-02044,2026-01-29 00:00:00,2026-01-29 00:00:00,500,52
CANON,100264,CU-02020,2026-01-29 00:00:00,2026-01-29 00:00:00,1882800,52
CANON,100265,CU-01502,2026-01-29 00:00:00,2026-01-29 00:00:00,44460,52
CANON,100269,CU-01029,2026-01-31 00:00:00,2026-01-31 00:00:00,365000,50
CANON,100283,CU-01514,2026-01-31 00:00:00,2026-01-31 00:00:00,866100,50
CANON,100291,CU-02256,2026-02-01 00:00:00,2026-02-01 00:00:00,150000,49
CANON,100298,CU-01330,2026-01-29 00:00:00,2026-01-29 00:00:00,48,52
CANON,100300,CU-02029,2026-01-29 00:00:00,2026-01-29 00:00:00,4000,52
CANON,100303,CU-02036,2026-02-01 00:00:00,2026-02-01 00:00:00,22680,49
CANON,100308,CU-02007,2026-01-29 00:00:00,2026-01-29 00:00:00,431730,52
CANON,100310,CU-02012,2026-01-29 00:00:00,2026-01-29 00:00:00,1456000,52
CANON,100320,CU-02243,2026-01-28 00:00:00,2026-01-28 00:00:00,1224000,53
CANON,100332,CU-00403,2026-02-03 00:00:00,2026-02-03 00:00:00,3440000,47
CANON,100335,CU-01569,2026-01-24 00:00:00,2026-01-24 00:00:00,350000,57
CANON,100341,CU-00025,2026-02-03 00:00:00,2026-02-03 00:00:00,1290000,47
CANON,100352,CU-00134,2026-02-04 00:00:00,2026-02-04 00:00:00,300000,46
CANON,100361,CU-01276,2026-02-04 00:00:00,2026-02-04 00:00:00,75000,46
CANON,100362,CU-01979,2026-02-04 00:00:00,2026-02-04 00:00:00,185000,46
CANON,100363,CU-01979,2026-02-04 00:00:00,2026-02-04 00:00:00,35000,46
CANON,100364,CU-01299,2026-02-04 00:00:00,2026-02-04 00:00:00,200000,46
CANON,100365,CU-01276,2026-02-04 00:00:00,2026-02-04 00:00:00,90000,46
CANON,100374,CU-02012,2026-02-03 00:00:00,2026-02-03 00:00:00,714312,47
CANON,100381,CU-02030,2026-02-05 00:00:00,2026-02-05 00:00:00,160000,45
CANON,100393,CU-02272,2026-02-09 00:00:00,2026-02-09 00:00:00,190000,41
CANON,100395,CU-02277,2026-02-09 00:00:00,2026-02-09 00:00:00,505000,41
