company_code,bp_id,bp_type,bp_group,payment_terms,active_flag
CANON,CU-00006,customer,,,1
CANON,CU-00014,customer,,,1
CANON,CU-00015,customer,,,1
CANON,CU-00016,customer,,,1
CANON,CU-00025,customer,,,1
CANON,CU-00029,customer,,,1
CANON,CU-00030,customer,,,1
CANON,CU-00033,customer,,,1
CANON,CU-00047,customer,,,1
CANON,CU-00052,customer,,,1
CANON,CU-00053,customer,,,1
CANON,CU-00062,customer,,,1
CANON,CU-00067,customer,,,1
CANON,CU-00072,customer,,,1
CANON,CU-00084,customer,,,1
CANON,CU-00087,customer,,,1
CANON,CU-00095,customer,,,1
CANON,CU-00096,customer,,,1
CANON,CU-00097,customer,,,1
CANON,CU-00098,customer,,,1
CANON,CU-00101,customer,,,1
CANON,CU-00105,customer,,,1
CANON,CU-00113,customer,,,1
CANON,CU-00114,customer,,,1
CANON,CU-00126,customer,,,1
CANON,CU-00128,customer,,,1
CANON,CU-00131,customer,,,1
CANON,CU-00134,customer,,,1
CANON,CU-00137,customer,,,1
CANON,CU-00145,customer,,,1
CANON,CU-00146,customer,,,1
CANON,CU-00147,customer,,,1
CANON,CU-00155,customer,,,1
CANON,CU-00159,customer,,,1
CANON,CU-00160,customer,,,1
CANON,CU-00181,customer,,,1
CANON,CU-00182,customer,,,1
CANON,CU-00205,customer,,,1
CANON,CU-00210,customer,,,1
CANON,CU-00212,customer,,,1
CANON,CU-00218,customer,,,1
CANON,CU-00224,customer,,,1
CANON,CU-00230,customer,,,1
CANON,CU-00231,customer,,,1
CANON,CU-00234,customer,,,1
CANON,CU-00237,customer,,,1
CANON,CU-00239,customer,,,1
CANON,CU-00244,customer,,,1
CANON,CU-00261,customer,,,1
CANON,CU-00263,customer,,,1
CANON,CU-00268,customer,,,1
CANON,CU-00276,customer,,,1
CANON,CU-00284,customer,,,1
CANON,CU-00287,customer,,,1
CANON,CU-00347,customer,,,1
CANON,CU-00352,customer,,,1
CANON,CU-00359,customer,,,1
CANON,CU-00380,customer,,,1
