company_code,item_id,item_group,uom,active_flag
CANON,,,,1
CANON,0146C001,B2B - IPS \ IPS Accessories,,1
CANON,0473C002AA,B2B - DS Copier \ Office Copier / CX - Office Service,,1
CANON,0515C107AC,B2C - Opp \ MB - Machine / CD - IJ MFP (Inkjet Multi Function Printer),,1
CANON,0651C003AF,B2B - DS Copier \ Dims / EM - DIMS,,1
CANON,0663C001AA,#N/A,,1
CANON,0664C001AA,#N/A,,1
CANON,0665C001AA,#N/A,,1
CANON,0666C001AA,#N/A,,1
CANON,0727C071AA,#N/A,,1
CANON,1007B001AB,B2B - IPS \ IPS Accessories,,1
CANON,1060075550  000,#N/A,,1
CANON,1060085168  000,#N/A,,1
CANON,1070012863  000,#N/A,,1
CANON,1070074365  000,#N/A,,1
CANON,1156C005AC,B2B - IPS \ IPS Accessories,,1
CANON,1239C002AA,B2C - Opp \ CN - Toner Cartridges / GR - Laser Cartridge,,1
CANON,1240C002AA,B2C - Opp \ CN - Toner Cartridges / GR - Laser Cartridge,,1
CANON,1241C002AA,B2C - Opp \ CN - Toner Cartridges / GR - Laser Cartridge,,1
CANON,1242C002AA,B2C - Opp \ CN - Toner Cartridges / GR - Laser Cartridge,,1
CANON,1394C002AB,B2B - DS Copier \ Office Copier / CX - Office Service,,1
CANON,1395C002AA,B2B - DS Copier \ Office Copier / CX - Office Service,,1
CANON,1396C002AA,B2B - DS Copier \ Office Copier / CX - Office Service,,1
CANON,1397C002AA,B2B - DS Copier \ Office Copier / CX - Office Service,,1
CANON,1418C030AA,B2C - Opp \ MB - Machine / CH - Laser MFP (Multi Function Printer),,1
CANON,2169C002AA,B2C - Opp \ CN - Toner Cartridges / GR - Laser Cartridge,,1
CANON,2182C002AA,B2B - DS Copier \ Office Copier / CX - Office Service,,1
CANON,2183C002AA,B2B - DS Copier \ Office Copier / CX - Office Service,,1
CANON,2184C002AA,B2B - DS Copier \ Office Copier / CX - Office Service,,1
CANON,2185C002AA,B2B - DS Copier \ Office Copier / CX - Office Service,,1
CANON,2315C009AB,B2C - Opp \ MB - Machine / CQ - IJ SFP (Inkjet Single Function Printer),,1
CANON,2315C052AB,B2C - Opp \ MB - Machine / CQ - IJ SFP (Inkjet Single Function Printer),,1
CANON,2321C007AA,B2C - Opp \ MB - Machine / CD - IJ MFP (Inkjet Multi Function Printer),,1
CANON,2352C001AB,B2B - IPS \ LFP / GJ - LFP-BU Consume,,1
CANON,2405C003AF,B2B - DS Copier \ Dims / EM - DIMS,,1
CANON,2646C003AA,B2B - DS Copier \ Dims / EM - DIMS,,1
CANON,2646C003AD,B2B - DS Copier \ Dims / EM - DIMS,,1
